"cfr.data.age1","cfr.data.age2","cfr.data.age3","cfr.data.age4","cfr.data.age5","cfr.data.agelt6"
0,0.0441176470588235,0,0,NA,0.0204081632653061
0,0.0491803278688525,0,0,NA,0.0198675496688742
0,0,0,0,0,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0.0166666666666667,0,0,NA,0.00666666666666667
0,0.0153846153846154,0,0,NA,0.00709219858156028
0,0,0,0,NA,0
0,0,0,0.0476190476190476,NA,0
0.0119047619047619,0,0,0.111111111111111,NA,0.00689655172413793
0,0,0,0.111111111111111,NA,0
0,0,0,0.0434782608695652,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,0,0
0,0,0,0.0769230769230769,0,0
0,0.0135135135135135,0,0,NA,0.00574712643678161
0,0.012987012987013,0,0,NA,0.00609756097560976
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0.012987012987013,0,0,0,0,0.0072992700729927
0,0,0,0,0,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0.0555555555555556,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0.03125,0,0,NA,0.0143884892086331
0,0.09375,0,0,NA,0.037037037037037
0.0235294117647059,0.104477611940299,0,0,NA,0.0592105263157895
0,0.0606060606060606,0,0,NA,0.0268456375838926
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,NA,0
0,0,0,0.1,NA,0
0,0,0,0.0625,0,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0.0357142857142857,0,0.210526315789474,NA,0.0152671755725191
0,0.0317460317460317,0,0.0434782608695652,NA,0.0148148148148148
0,0.0289855072463768,0,0.0833333333333333,0,0.0136054421768707
0,0,0,0,NA,0
0,0,0,0.0526315789473684,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0.0869565217391304,0,0
0,0,0,0.037037037037037,NA,0
0,0,0,0,NA,0
0.027027027027027,0.0161290322580645,0,0,NA,0.0220588235294118
0.0123456790123457,0.0172413793103448,0,0.0526315789473684,NA,0.0143884892086331
0.0121951219512195,0,0,0.0588235294117647,NA,0.00740740740740741
0,0,0,0,NA,0
0.0133333333333333,0,0,0,NA,0.00740740740740741
0,0,0,0,NA,0
0,0,0,0.125,NA,0
0,0,0,0.0555555555555556,NA,0
0,0,0,0.0869565217391304,0,0
0.0123456790123457,0,0,0.111111111111111,NA,0.00757575757575758
0,0.0285714285714286,0,0.0714285714285714,NA,0.0132450331125828
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,0,0
0,0,0,0.0344827586206897,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0.0217391304347826,0.0161290322580645,0,0,NA,0.0194805194805195
0,0,0,0,0,0
0,0.0158730158730159,0,0,NA,0.00684931506849315
0,0,0,0.0416666666666667,NA,0
0,0,0,0.117647058823529,NA,0
0,0.0178571428571429,0,0,NA,0.00735294117647059
